School DBN,School Name,School District,Total Applicants,True Applicants,Ratio,Rank
24Q236,International High School for Health Sciences,24,485.0,112.0,25.863917525773196,211
02M449,Vanguard High School,2,701.0,134.0,25.614835948644792,212
10X264,Bronx Academy for Software Engineering (BASE),10,1199.0,175.0,25.54211843202669,213
01M515,Lower East Side Preparatory High School,1,317.0,89.0,24.98738170347003,214
09X241,"Urban Assembly School for Applied Math and Science, The",9,561.0,117.0,24.40106951871658,215
02M298,Pace High School,2,1172.0,169.0,24.369453924914676,216
19K583,Multicultural High School,19,320.0,88.0,24.2,217
19K639,Brooklyn Lab School,19,980.0,152.0,23.57551020408163,218
27Q309,Academy of Medical Technology: A College Board School,27,626.0,120.0,23.003194888178914,219
19K507,Performing Arts and Technology High School,19,1103.0,157.0,22.347234814143246,220
10X228,Jonas Bronck Academy,10,372.0,91.0,22.260752688172044,221
32K552,The Academy of Urban Planning and Engineering,32,737.0,128.0,22.230664857530527,222
09X227,Bronx Collegiate Academy,9,1201.0,163.0,22.122398001665278,223
29Q326,Cambria Heights Academy,29,581.0,113.0,21.9776247848537,224
25Q241,Queens High School for Language Studies,25,371.0,90.0,21.83288409703504,225
08X376,Antonia Pantoja Preparatory Academy: A College Board School,8,308.0,82.0,21.83116883116883,226
15K464,Park Slope Collegiate,15,613.0,115.0,21.5742251223491,227
02M438,International High School at Union Square,2,501.0,103.0,21.17564870259481,228
28Q690,High School for Law Enforcement and Public Safety,28,396.0,91.0,20.911616161616163,229
03M415,Wadleigh Secondary School for the Performing & Visual Arts,3,826.0,130.0,20.46004842615012,230
08X530,Longwood Preparatory Academy,8,649.0,115.0,20.377503852080125,231
32K556,Bushwick Leaders High School for Academic Excellence,32,768.0,125.0,20.345052083333332,232
12X271,East Bronx Academy for the Future,12,464.0,97.0,20.27801724137931,233
29Q313,Benjamin Franklin High School for Finance & Information Technology,29,735.0,122.0,20.250340136054422,234
10X243,West Bronx Academy for the Future,10,917.0,136.0,20.170119956379498,235
08X293,Renaissance High School for Musical Theater and the Arts,8,660.0,115.0,20.03787878787879,236
20K609,Urban Assembly School for Leadership and Empowerment,20,278.0,74.0,19.697841726618705,237
18K617,High School for Innovation in Advertising and Media,18,522.0,101.0,19.542145593869733,238
27Q351,Rockaway Collegiate High School,27,258.0,71.0,19.53875968992248,239
15K429,Digital Arts and Cinema Technology High School,15,579.0,105.0,19.041450777202073,240
14K454,The Williamsburg High School of Art and Technology,14,893.0,129.0,18.634938409854424,241
13K483,The Urban Assembly School for Law and Justice,13,593.0,105.0,18.591905564924115,242
07X522,Bronx Design and Construction Academy,7,677.0,112.0,18.528803545051698,243
11X275,High School of Computers and Technology,11,715.0,115.0,18.496503496503497,244
17K382,Academy for College Preparation and Career Exploration: A College Board School,17,837.0,124.0,18.37037037037037,245
02M580,Richard R. Green High School of Teaching,2,1291.0,154.0,18.370255615801703,246
17K122,Pathways in Technology Early College High School (P-Tech),17,712.0,114.0,18.252808988764045,247
13K412,Brooklyn Community Arts & Media High School (BCAM),13,702.0,113.0,18.18945868945869,248
01M292,Orchard Collegiate Academy,1,280.0,71.0,18.00357142857143,249
06M462,The College Academy,6,814.0,121.0,17.986486486486488,250
02M303,"Facing History School, The",2,421.0,87.0,17.978622327790973,251
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,2,432.0,88.0,17.925925925925927,252
14K071,Juan Morel Campos Secondary School,14,341.0,78.0,17.841642228739,253
06M468,High School for Health Careers and Sciences,6,822.0,121.0,17.811435523114355,254
21K337,International High School at Lafayette,21,327.0,76.0,17.66360856269113,255
23K493,Brooklyn Collegiate: A College Board School,23,727.0,113.0,17.563961485557083,256
10X213,Bronx Engineering and Technology Academy,10,754.0,115.0,17.539787798408486,257
25Q240,Veritas Academy,25,526.0,96.0,17.520912547528518,258
09X252,Mott Hall Bronx High School,9,1138.0,141.0,17.4701230228471,259
14K478,"The High School for Enterprise, Business and Technology",14,1197.0,144.0,17.32330827067669,260
02M615,Chelsea Career and Technical Education High School,2,821.0,118.0,16.959805115712545,261
03M494,High School of Arts and Technology,3,1037.0,132.0,16.8023143683703,262
12X388,Pan American International High School at Monroe,12,310.0,71.0,16.261290322580646,263
02M374,Gramercy Arts High School,2,1038.0,129.0,16.03179190751445,264
11X545,Bronx Aerospace High School,11,751.0,109.0,15.820239680426099,265
09X324,Bronx Early College Academy for Teaching & Learning,9,549.0,93.0,15.754098360655737,266
17K745,Brooklyn Institute for Liberal Arts,17,761.0,109.0,15.612352168199736,267
03M307,"Urban Assembly School for Media Studies, The",3,328.0,71.0,15.36890243902439,268
08X432,Bronx Bridges High School,8,454.0,83.0,15.174008810572687,269
