school,mean_rank,rank_variance,num_languages,min_rank,max_rank,School DBN,School Name
27Q334,129.71428571428572,1411.2380952380954,7,74.0,172.0,27Q334,Epic High School - North
26Q315,99.57142857142857,1394.952380952381,7,47.0,146.0,26Q315,Business Technology Early College High School
02M507,131.42857142857142,1375.9523809523807,7,104.0,210.0,02M507,Urban Assembly Gateway School for Technology
28Q440,34.0,1375.3333333333333,7,4.0,115.0,28Q440,Forest Hills High School
24Q264,73.28571428571429,1367.2380952380952,7,37.0,144.0,24Q264,Academy of Finance and Enterprise
30Q301,126.28571428571429,1344.904761904762,7,70.0,161.0,30Q301,Academy for Careers in Television and Film
10X264,176.42857142857142,1343.2857142857144,7,125.0,237.0,10X264,Bronx Academy for Software Engineering (BASE)
27Q314,168.14285714285714,1284.4761904761904,7,135.0,220.0,27Q314,Epic High School - South
27Q480,81.71428571428571,1282.9047619047622,7,24.0,124.0,27Q480,John Adams High School
20K490,31.0,1242.3333333333333,7,1.0,85.0,20K490,Fort Hamilton High School
02M449,178.0,1192.0,7,144.0,241.0,02M449,Vanguard High School
11X249,169.0,1156.6666666666667,7,131.0,214.0,11X249,Bronx Health Sciences High School
22K555,60.42857142857143,1081.952380952381,7,32.0,111.0,22K555,Brooklyn College Academy
07X259,129.28571428571428,1055.2380952380952,7,84.0,160.0,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)"
02M546,86.42857142857143,985.6190476190476,7,56.0,144.0,02M546,Academy for Software Engineering
21K525,29.428571428571427,961.6190476190476,7,8.0,98.0,21K525,Edward R. Murrow High School
30Q501,44.714285714285715,928.5714285714286,7,15.0,103.0,30Q501,Frank Sinatra School of the Arts High School
02M400,113.14285714285714,903.8095238095239,7,75.0,156.0,02M400,High School for Environmental Studies
14K610,134.42857142857142,900.2857142857146,7,80.0,168.0,14K610,A-Tech High School
10X437,121.28571428571429,899.2380952380951,7,87.0,159.0,10X437,Fordham High School for the Arts
20K445,34.714285714285715,784.2380952380953,7,7.0,81.0,20K445,New Utrecht High School
