School DBN,School Name,School District,Residential District,Total Applicants Residential District,True Applicants Residential District,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
07X522,Bronx Design and Construction Academy,7,1,2,1,677,112,140,91,0.5,61
07X548,Careers in Sports High School,7,1,2,1,1056,226,125,202,0.5,61
09X260,Bronx Center for Science and Mathematics,9,1,2,1,2530,621,108,201,0.5,61
10X284,Bronx School of Law and Finance,10,1,2,1,558,58,130,-2,0.5,61
10X353,World View High School,10,1,2,1,1343,263,150,195,0.5,61
10X374,Knowledge and Power Preparatory Academy International High School (Kappa),10,1,2,1,2279,431,120,179,0.5,61
10X437,Fordham High School for the Arts,10,1,2,1,1826,399,130,158,0.5,61
11X290,Bronx Academy of Health Careers,11,1,2,1,897,90,108,-2,0.5,61
13K527,Urban Assembly Institute of Math and Science for Young Women,13,1,2,1,237,54,81,60,0.5,61
13K595,Bedford Academy High School,13,1,2,1,2464,599,81,114,0.5,61
13K963,Design Works High School,13,1,2,1,607,86,81,-2,0.5,61
14K474,PROGRESS High School for Professional Careers,14,1,2,1,506,81,153,-2,0.5,61
14K477,East Williamsburg Scholars Academy,14,1,2,1,650,90,234,-2,0.5,61
14K478,"The High School for Enterprise, Business and Technology",14,1,6,3,1197,144,249,130,1.5,45
14K488,Brooklyn Preparatory High School,14,1,2,1,1061,174,153,-2,0.5,61
16K498,Brooklyn High School for Law and Technology,16,1,2,1,1730,296,151,-2,0.5,61
17K122,Pathways in Technology Early College High School (P-Tech),17,1,2,1,712,114,150,-2,0.5,61
17K408,Academy of Hospitality and Tourism,17,1,2,1,571,89,118,-2,0.5,61
17K537,High School for Youth and Community Development at Erasmus,17,1,2,1,488,82,140,-2,0.5,61
17K543,"Science, Technology and Research Early College High School at Erasmus",17,1,2,1,790,197,130,145,0.5,61
17K590,Medgar Evers College Preparatory School,17,1,2,1,2078,676,220,237,0.5,61
19K404,Academy for Young Writers,19,1,2,1,559,71,92,82,0.5,61
19K583,Multicultural High School,19,1,2,1,320,88,111,64,0.5,61
