School DBN,School Name,School District,Residential District,Total Applicants Residential District,True Applicants Residential District,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
09X517,Frederick Douglass Academy III Secondary School,9,19,2,1,404,35,108,-2,0.5,146
10X213,Bronx Engineering and Technology Academy,10,19,2,1,754,115,142,-2,0.5,146
10X237,"The Marie Curie High School for Medicine, Nursing, and Health Professions",10,19,2,1,334,46,135,-2,0.5,146
10X374,Knowledge and Power Preparatory Academy International High School (Kappa),10,19,2,1,2279,431,120,179,0.5,146
10X434,Belmont Preparatory High School,10,19,2,1,1447,203,108,176,0.5,146
10X438,Fordham Leadership Academy,10,19,2,1,2416,416,108,155,0.5,146
10X439,Bronx High School for Law and Community Service,10,19,2,1,1467,220,108,163,0.5,146
11X249,Bronx Health Sciences High School,11,19,2,1,1270,225,200,261,0.5,146
11X290,Bronx Academy of Health Careers,11,19,2,1,897,90,108,-2,0.5,146
11X545,Bronx Aerospace High School,11,19,2,1,751,109,189,-2,0.5,146
12X511,Bronx Envision Academy,12,19,2,1,459,44,108,-2,0.5,146
12X641,Bard High School Early College Bronx,12,19,2,1,1391,613,100,106,0.5,146
21K344,Rachel Carson High School for Coastal Studies,21,19,2,1,469,162,160,200,0.5,146
24Q267,High School of Applied Communication,24,19,2,1,557,75,145,-2,0.5,146
24Q296,Pan American International High School,24,19,2,1,508,166,108,28,0.5,146
25Q281,East-West School of International Studies,25,19,2,1,766,290,89,113,0.5,146
25Q285,World Journalism Preparatory: A College Board School,25,19,2,1,448,162,90,139,0.5,146
26Q495,Bayside High School,26,19,2,1,6914,2765,851,1041,0.5,146
29Q248,Queens Preparatory Academy,29,19,2,1,383,62,100,-2,0.5,146
29Q265,Excelsior Preparatory High School,29,19,2,1,353,58,108,95,0.5,146
30Q286,"Young Women's Leadership School, Astoria",30,19,2,1,453,156,81,103,0.5,146
30Q417,Gotham Tech High School,30,19,2,1,631,96,90,-2,0.5,146
30Q502,Information Technology High School,30,19,2,1,944,190,227,-2,0.5,146
31R460,Susan E. Wagner High School,31,19,2,1,2611,968,660,631,0.5,146
01M696,Bard High School Early College,1,19,110,51,3946,2196,125,198,23.645454545454545,6
01M539,"New Explorations into Science, Technology and Math High School",1,19,63,28,3743,2047,150,289,12.444444444444445,18
03M479,Beacon High School,3,19,131,53,7891,4442,360,493,21.442748091603054,7
24Q299,Bard High School Early College Queens,24,19,89,36,3866,2227,125,166,14.561797752808989,12
03M859,Special Music School,3,19,5,2,482,165,50,64,0.8,130
04M555,Central Park East High School,4,19,30,12,4762,1538,125,215,4.8,46
19K409,East New York Family Academy,19,19,312,123,416,159,125,147,48.49038461538461,2
30Q501,Frank Sinatra School of the Arts High School,30,19,69,27,3557,1643,236,416,10.565217391304348,24
03M541,Manhattan / Hunter Science High School,3,19,79,30,5406,2689,108,176,11.39240506329114,21
02M600,The High School of Fashion Industries,2,19,87,33,2046,720,475,395,12.517241379310345,16
30Q580,Baccalaureate School for Global Education,30,19,16,6,1732,937,97,94,2.25,78
02M376,NYC iSchool,2,19,31,11,2459,931,118,158,3.903225806451613,52
22K405,Midwood High School,22,19,492,166,11658,5495,910,1323,56.00813008130081,1
15K684,Millennium Brooklyn HS,15,19,235,79,5385,2365,178,252,26.557446808510637,5
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,2,19,9,3,432,88,108,-2,1.0,123
02M422,Quest to Learn,2,19,3,1,177,27,108,41,0.3333333333333333,194
02M605,Humanities Preparatory Academy,2,19,6,2,861,101,75,-2,0.6666666666666666,136
03M860,Frederick Douglass Academy II Secondary School,3,19,3,1,309,55,95,105,0.3333333333333333,194
05M670,Thurgood Marshall Academy for Learning and Social Change,5,19,3,1,340,71,108,-2,0.3333333333333333,194
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",7,19,3,1,862,174,250,182,0.3333333333333333,194
07X500,Hostos-Lincoln Academy of Science,7,19,3,1,751,158,81,121,0.3333333333333333,194
08X293,Renaissance High School for Musical Theater and the Arts,8,19,3,1,660,115,110,-2,0.3333333333333333,194
08X349,Bronx River High School,8,19,3,1,1172,196,108,168,0.3333333333333333,194
09X505,"Bronx School for Law, Government and Justice",9,19,3,1,1132,259,120,154,0.3333333333333333,194
09X525,Bronx Leadership Academy High School,9,19,3,1,1027,107,105,123,0.3333333333333333,194
10X264,Bronx Academy for Software Engineering (BASE),10,19,3,1,1199,175,120,165,0.3333333333333333,194
10X565,High School for Energy and Technology,10,19,3,1,503,51,120,-2,0.3333333333333333,194
11X288,Collegiate Institute for Math and Science,11,19,3,1,1764,317,133,200,0.3333333333333333,194
11X418,Bronx High School for the Visual Arts,11,19,3,1,951,168,102,136,0.3333333333333333,194
15K592,Khalil Gibran International Academy,15,19,3,1,101,19,81,-2,0.3333333333333333,194
24Q293,Civic Leadership Academy,24,19,3,1,1157,291,142,191,0.3333333333333333,194
31R455,Tottenville High School,31,19,3,1,3274,1627,1158,1357,0.3333333333333333,194
27Q650,"High School for Construction Trades, Engineering and Architecture",27,19,263,86,3028,1209,247,311,28.121673003802282,4
27Q323,Scholars' Academy,27,19,34,11,1065,580,154,186,3.5588235294117645,58
02M580,Richard R. Green High School of Teaching,2,19,31,10,1291,154,160,-2,3.225806451612903,62
24Q585,Maspeth High School,24,19,81,26,5045,1953,270,348,8.345679012345679,30
28Q167,Metropolitan Expeditionary Learning School,28,19,25,8,1254,467,125,141,2.56,71
01M450,East Side Community School,1,19,16,5,1142,328,95,117,1.5625,112
02M519,Talent Unlimited High School,2,19,26,8,1599,468,152,213,2.4615384615384617,73
19K683,School for Classics High School,19,19,150,46,229,54,108,-2,14.106666666666667,13
17K590,Medgar Evers College Preparatory School,17,19,217,65,2078,676,220,237,19.47004608294931,8
20K485,High School of Telecommunication Arts and Technology,20,19,27,8,2973,1210,310,363,2.3703703703703702,74
15K656,Brooklyn High School of the Arts,15,19,196,58,2104,574,254,272,17.163265306122447,10
28Q686,Queens Metropolitan High School,28,19,45,13,2321,931,279,279,3.7555555555555555,54
02M411,Baruch College Campus High School,2,19,97,28,6773,2753,118,188,8.082474226804123,31
02M414,N.Y.C. Museum School,2,19,21,6,3022,865,150,254,1.7142857142857142,108
02M449,Vanguard High School,2,19,7,2,701,134,110,158,0.5714285714285714,142
05M362,Columbia Secondary School,5,19,35,10,4258,1769,112,175,2.857142857142857,68
19K583,Multicultural High School,19,19,132,37,320,88,111,64,10.371212121212121,25
27Q308,Robert H. Goddard High School of Communication Arts and Technology,27,19,132,37,1222,468,140,181,10.371212121212121,25
02M418,Millennium High School,2,19,92,25,5541,2290,176,286,6.793478260869565,37
26Q430,Francis Lewis High School,26,19,48,13,8708,3905,913,1030,3.5208333333333335,59
02M408,Professional Performing Arts High School,2,19,37,10,1255,378,128,180,2.7027027027027026,69
22K425,James Madison High School,22,19,248,67,6968,2801,837,940,18.100806451612904,9
02M393,Business Of Sports School,2,19,26,7,1151,248,129,210,1.8846153846153846,98
02M545,High School for Dual Language and Asian Studies,2,19,15,4,769,299,108,150,1.0666666666666667,120
02M288,Food and Finance High School,2,19,36,9,1225,264,150,211,2.25,78
02M400,High School for Environmental Studies,2,19,4,1,2558,395,344,385,0.25,214
02M419,Landmark High School,2,19,4,1,457,37,100,-2,0.25,214
02M550,Liberty High School Academy for Newcomers,2,19,4,1,99,16,50,6,0.25,214
05M157,The Urban Assembly School for Global Commerce,5,19,4,1,207,26,81,-2,0.25,214
07X600,Alfred E. Smith Career and Technical Education High School,7,19,4,1,1126,227,189,193,0.25,214
10X440,DeWitt Clinton High School,10,19,4,1,2901,586,385,492,0.25,214
10X442,"Celia Cruz Bronx High School of Music, The",10,19,4,1,561,165,140,114,0.25,214
11X299,Astor Collegiate Academy,11,19,4,1,2199,342,120,189,0.25,214
21K410,Abraham Lincoln High School,21,19,218,54,2225,539,741,604,13.376146788990825,14
23K644,Eagle Academy for Young Men II,23,19,98,24,554,179,92,139,5.877551020408164,41
22K555,Brooklyn College Academy,22,19,164,40,2698,911,170,228,9.75609756097561,28
15K429,Digital Arts and Cinema Technology High School,15,19,33,8,579,105,90,94,1.9393939393939394,94
27Q314,Epic High School - South,27,19,33,8,618,154,95,138,1.9393939393939394,94
24Q610,Aviation Career & Technical Education High School,24,19,62,15,4123,1548,530,723,3.629032258064516,57
22K535,Leon M. Goldstein High School for the Sciences,22,19,87,21,3985,2007,258,429,5.068965517241379,44
28Q440,Forest Hills High School,28,19,92,22,7184,2477,702,851,5.260869565217392,42
14K474,PROGRESS High School for Professional Careers,14,19,77,18,506,81,153,-2,4.207792207792208,51
04M435,Manhattan Center for Science and Mathematics,4,19,30,7,5010,1993,440,709,1.6333333333333333,110
17K543,"Science, Technology and Research Early College High School at Erasmus",17,19,69,16,790,197,130,145,3.710144927536232,55
14K488,Brooklyn Preparatory High School,14,19,130,30,1061,174,153,-2,6.923076923076923,35
01M448,University Neighborhood High School,1,19,35,8,2248,447,125,185,1.8285714285714285,101
14K071,Juan Morel Campos Secondary School,14,19,35,8,341,78,101,69,1.8285714285714285,101
02M282,Urban Assembly Maker Academy,2,19,22,5,1074,175,150,216,1.1363636363636365,118
02M630,Art and Design High School,2,19,132,30,3594,1359,385,523,6.818181818181818,36
17K600,Clara Barton High School,17,19,141,32,1276,355,434,-2,7.26241134751773,34
28Q620,Thomas A. Edison Career and Technical Education High School,28,19,129,29,6131,2355,473,583,6.51937984496124,39
02M416,Eleanor Roosevelt High School,2,19,90,20,7699,3749,136,224,4.444444444444445,49
02M534,Harvest Collegiate High School,2,19,9,2,1116,115,116,-2,0.4444444444444444,191
13K483,The Urban Assembly School for Law and Justice,13,19,95,21,593,105,115,-2,4.6421052631578945,47
13K670,Benjamin Banneker Academy,13,19,214,47,1912,451,225,318,10.322429906542055,27
02M374,Gramercy Arts High School,2,19,41,9,1038,129,204,78,1.975609756097561,91
02M543,New Design High School,2,19,41,9,852,157,125,145,1.975609756097561,91
02M413,School of the Future High School,2,19,14,3,1741,485,108,152,0.6428571428571429,138
15K462,John Jay School for Law,15,19,70,15,1012,184,125,-2,3.2142857142857144,63
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",13,19,179,38,1239,274,108,160,8.067039106145252,32
18K576,Victory Collegiate High School,18,19,43,9,305,61,140,-2,1.8837209302325582,99
16K765,Nelson Mandela High School,16,19,39,8,250,25,114,-2,1.641025641025641,109
02M294,Essex Street Academy,2,19,44,9,2478,562,90,125,1.8409090909090908,100
02M305,"Urban Assembly Academy of Government and Law, The",2,19,49,10,573,75,100,-2,2.0408163265306123,82
19K502,FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,19,19,294,60,745,141,108,125,12.244897959183673,19
02M420,High School for Health Professions and Human Services,2,19,118,24,2991,776,477,590,4.88135593220339,45
02M394,Emma Lazarus High School,2,19,5,1,134,19,60,-1,0.2,225
02M531,Repertory Company High School for Theatre Arts,2,19,5,1,365,100,60,68,0.2,225
02M551,Urban Assembly New York Harbor School,2,19,10,2,724,221,200,-2,0.4,193
04M495,Park East High School,4,19,15,3,2653,739,100,166,0.6,140
14K685,El Puente Academy for Peace and Justice,14,19,5,1,134,25,70,-2,0.2,225
24Q600,Queens Technical High School,24,19,45,9,3942,1196,350,423,1.8,104
14K558,Williamsburg High School for Architecture and Design,14,19,163,32,1223,253,155,212,6.282208588957055,40
27Q334,Epic High School - North,27,19,51,10,735,169,70,91,1.9607843137254901,93
14K614,Young Women's Leadership School of Brooklyn,14,19,46,9,251,47,93,59,1.7608695652173914,107
13K265,Dr. Susan S. McKinney Secondary School of the Arts,13,19,41,8,362,54,82,-2,1.5609756097560976,113
13K595,Bedford Academy High School,13,19,293,57,2464,599,81,114,11.088737201365188,23
19K618,Academy of Innovative Technology,19,19,339,65,1048,183,115,169,12.463126843657816,17
19K615,Transit Tech Career and Technical Education High School,19,19,402,77,1168,225,315,-2,14.748756218905474,11
27Q480,John Adams High School,27,19,325,62,2490,480,636,644,11.827692307692308,20
17K537,High School for Youth and Community Development at Erasmus,17,19,53,10,488,82,140,-2,1.8867924528301887,97
24Q520,Middle College High School at LaGuardia Community College,24,19,16,3,1826,552,97,118,0.5625,143
02M298,Pace High School,2,19,43,8,1172,169,190,177,1.4883720930232558,114
19K660,W. H. Maxwell Career and Technical Education High School,19,19,329,61,991,185,305,164,11.310030395136778,22
13K439,Brooklyn International High School,13,19,38,7,409,71,81,53,1.2894736842105263,116
18K617,High School for Innovation in Advertising and Media,18,19,116,21,522,101,81,91,3.8017241379310347,53
21K540,John Dewey High School,21,19,72,13,2573,622,553,577,2.3472222222222223,76
13K412,Brooklyn Community Arts & Media High School (BCAM),13,19,67,12,702,113,142,-2,2.1492537313432836,80
27Q475,Richmond Hill High School,27,19,96,17,1397,386,371,423,3.0104166666666665,64
19K639,Brooklyn Lab School,19,19,402,71,980,152,102,143,12.539800995024876,15
17K122,Pathways in Technology Early College High School (P-Tech),17,19,109,19,712,114,150,-2,3.311926605504587,61
21K525,Edward R. Murrow High School,21,19,118,20,6293,2283,933,1196,3.389830508474576,60
19K422,Spring Creek Community School,19,19,254,43,341,50,73,-2,7.2795275590551185,33
14K610,A-Tech High School,14,19,154,26,1273,264,224,243,4.3896103896103895,50
02M047,47 The American Sign Language and English Secondary School,2,19,12,2,318,55,69,-2,0.3333333333333333,194
02M135,The Urban Assembly Early College High School for Emergency Medicine,2,19,24,4,510,116,122,-2,0.6666666666666666,136
02M529,Jacqueline Kennedy Onassis High School,2,19,18,3,534,81,204,-2,0.5,146
05M499,Frederick Douglass Academy,5,19,6,1,903,195,325,214,0.16666666666666666,230
07X548,Careers in Sports High School,7,19,6,1,1056,226,125,202,0.16666666666666666,230
11X275,High School of Computers and Technology,11,19,6,1,715,115,181,156,0.16666666666666666,230
11X455,Harry S Truman High School,11,19,6,1,1891,390,913,-2,0.16666666666666666,230
21K337,International High School at Lafayette,21,19,6,1,327,76,90,35,0.16666666666666666,230
21K572,Leaders High School,21,19,6,1,462,119,110,141,0.16666666666666666,230
24Q455,Newtown High School,24,19,6,1,1328,243,419,346,0.16666666666666666,230
28Q310,Queens Collegiate: A College Board School,28,19,6,1,453,67,115,77,0.16666666666666666,230
31R445,Port Richmond High School,31,19,6,1,1267,334,564,435,0.16666666666666666,230
28Q505,Hillcrest High School,28,19,79,13,2316,496,730,517,2.1392405063291138,81
24Q485,Grover Cleveland High School,24,19,67,11,1552,359,420,437,1.8059701492537314,103
19K764,The Urban Assembly School for Collaborative Healthcare,19,19,197,32,419,71,81,-2,5.197969543147208,43
02M489,High School of Economics and Finance,2,19,37,6,1374,223,230,-2,0.972972972972973,126
32K554,All City Leadership Secondary School,32,19,99,16,911,247,62,62,2.585858585858586,70
19K507,Performing Arts and Technology High School,19,19,373,59,1103,157,125,163,9.332439678284182,29
20K505,Franklin Delano Roosevelt High School,20,19,76,12,3723,924,710,852,1.894736842105263,96
32K545,EBC High School for Public Service - Bushwick,32,19,51,8,467,75,126,-2,1.2549019607843137,117
06M467,High School for Law and Public Service,6,19,13,2,643,95,167,84,0.3076923076923077,212
29Q498,"Health, Arts, Robotics, and Technology High School",29,19,59,9,1435,293,196,264,1.3728813559322033,115
32K556,Bushwick Leaders High School for Academic Excellence,32,19,126,19,768,125,120,-2,2.865079365079365,67
18K629,Cultural Academy for the Arts and Sciences,18,19,80,12,567,70,116,80,1.8,104
24Q530,International High School at LaGuardia Community College,24,19,20,3,1236,505,119,114,0.45,190
32K552,The Academy of Urban Planning and Engineering,32,19,114,17,737,128,113,-2,2.5350877192982457,72
19K659,Cypress Hills Collegiate Preparatory School,19,19,303,45,581,86,99,-2,6.683168316831683,38
14K561,Williamsburg Preparatory School,14,19,109,16,1131,226,180,236,2.3486238532110093,75
02M533,Union Square Academy for Health Sciences,2,19,48,7,834,154,163,143,1.0208333333333333,122
02M399,The High School For Language And Diplomacy,2,19,7,1,385,36,134,-2,0.14285714285714285,240
02M459,Manhattan International High School,2,19,7,1,738,151,85,73,0.14285714285714285,240
02M542,Manhattan Bridges High School,2,19,7,1,904,224,172,95,0.14285714285714285,240
06M293,City College Academy of the Arts,6,19,7,1,1028,337,81,95,0.14285714285714285,240
06M468,High School for Health Careers and Sciences,6,19,7,1,822,121,268,-2,0.14285714285714285,240
14K454,The Williamsburg High School of Art and Technology,14,19,98,14,893,129,116,120,2.0,83
15K463,Cyberarts Studio Academy,15,19,7,1,256,30,125,-2,0.14285714285714285,240
24Q236,International High School for Health Sciences,24,19,7,1,485,112,81,68,0.14285714285714285,240
28Q325,Hillside Arts & Letters Academy,28,19,7,1,520,82,108,133,0.14285714285714285,240
30Q258,Energy Tech High School,30,19,7,1,1535,348,108,145,0.14285714285714285,240
30Q301,Academy for Careers in Television and Film,30,19,21,3,1410,330,151,200,0.42857142857142855,192
32K168,The Brooklyn School for Math and Research,32,19,124,17,710,99,108,148,2.3306451612903225,77
14K478,"The High School for Enterprise, Business and Technology",14,19,168,22,1197,144,249,130,2.880952380952381,66
18K566,Brooklyn Community High School for Excellence and Equity,18,19,55,7,448,61,75,-2,0.8909090909090909,128
18K633,High School for Medical Professions,18,19,110,14,666,99,108,116,1.7818181818181817,106
02M296,High School of Hospitality Management,2,19,8,1,269,35,135,-2,0.125,249
02M500,Unity Center for Urban Technologies,2,19,8,1,274,48,95,136,0.125,249
05M369,Urban Assembly School for the Performing Arts,5,19,8,1,372,52,108,-2,0.125,249
07X522,Bronx Design and Construction Academy,7,19,8,1,677,112,140,91,0.125,249
19K404,Academy for Young Writers,19,19,296,37,559,71,92,82,4.625,48
20K445,New Utrecht High School,20,19,48,6,4568,1443,630,730,0.75,133
22K611,Origins High School,22,19,8,1,296,126,128,211,0.125,249
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",26,19,8,1,671,231,258,222,0.125,249
27Q262,Channel View School for Research,27,19,8,1,755,267,194,212,0.125,249
30Q450,Long Island City High School,30,19,16,2,1827,403,790,432,0.25,214
17K548,Brooklyn School for Music & Theatre,17,19,65,8,522,74,108,-2,0.9846153846153847,125
16K498,Brooklyn High School for Law and Technology,16,19,246,30,1730,296,151,-2,3.658536585365854,56
16K688,The Brooklyn Academy of Global Finance,16,19,50,6,469,56,108,-2,0.72,135
02M412,N.Y.C. Lab School for Collaborative Studies,2,19,17,2,3134,1067,109,161,0.23529411764705882,223
17K408,Academy of Hospitality and Tourism,17,19,68,8,571,89,118,-2,0.9411764705882353,127
14K477,East Williamsburg Scholars Academy,14,19,78,9,650,90,234,-2,1.0384615384615385,121
23K493,Brooklyn Collegiate: A College Board School,23,19,124,14,727,113,120,-2,1.5806451612903225,111
13K605,George Westinghouse Career and Technical Education High School,13,19,162,18,1254,203,254,194,2.0,83
14K586,Lyons Community School,14,19,9,1,174,32,81,-2,0.1111111111111111,257
28Q350,Jamaica Gateway to the Sciences,28,19,9,1,1005,210,150,184,0.1111111111111111,257
28Q896,"Young Women's Leadership School, Queens",28,19,9,1,350,99,81,119,0.1111111111111111,257
32K549,The Brooklyn School for Social Justice,32,19,90,10,425,47,120,-2,1.1111111111111112,119
15K667,Sunset Park High School,15,19,19,2,989,260,354,-2,0.21052631578947367,224
18K567,Brooklyn Theatre Arts High School,18,19,57,6,352,39,125,-2,0.631578947368421,139
02M280,Manhattan Early College School for Advertising,2,19,20,2,572,88,112,-2,0.2,225
02M316,"Urban Assembly School of Business for Young Women, the",2,19,10,1,165,17,120,-2,0.1,261
02M395,A School Without Walls,2,19,10,1,178,36,100,-2,0.1,261
02M437,Hudson High School of Learning Technologies,2,19,10,1,353,48,119,-2,0.1,261
11X544,High School for Contemporary Arts,11,19,10,1,607,55,240,-2,0.1,261
21K559,Life Academy High School for Film and Music,21,19,10,1,145,21,81,49,0.1,261
26Q435,Martin Van Buren High School,26,19,10,1,1084,217,352,273,0.1,261
29Q259,Pathways College Preparatory School: A College Board School,29,19,10,1,440,145,186,167,0.1,261
31R450,Curtis High School,31,19,10,1,1967,690,804,754,0.1,261
17K546,High School for Public Service: Heroes of Tomorrow,17,19,65,6,656,69,130,-2,0.5538461538461539,144
01M515,Lower East Side Preparatory High School,1,19,11,1,317,89,75,-2,0.09090909090909091,269
02M432,Murray Hill Academy,2,19,11,1,558,76,90,-2,0.09090909090909091,269
08X367,"Archimedes Academy for Math, Science and Technology Applications",8,19,11,1,427,75,100,-2,0.09090909090909091,269
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,11,19,11,1,775,148,120,-2,0.09090909090909091,269
18K569,Kurt Hahn Expeditionary Learning School,18,19,11,1,141,21,81,-2,0.09090909090909091,269
17K751,Academy for Health Careers,17,19,113,10,715,72,108,-2,0.8849557522123894,129
03M492,"High School for Law, Advocacy and Community Justice",3,19,23,2,920,170,220,-2,0.17391304347826086,229
02M546,Academy for Software Engineering,2,19,82,7,1992,388,125,201,0.5975609756097561,141
02M438,International High School at Union Square,2,19,12,1,501,103,68,75,0.08333333333333333,275
27Q302,"Queens High School for Information, Research, and Technology",27,19,12,1,671,160,130,177,0.08333333333333333,275
30Q575,Academy of American Studies,30,19,12,1,2727,819,170,224,0.08333333333333333,275
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",13,19,109,9,909,111,258,143,0.7431192660550459,134
02M615,Chelsea Career and Technical Education High School,2,19,25,2,821,118,152,-2,0.16,239
17K382,Academy for College Preparation and Career Exploration: A College Board School,17,19,77,6,837,124,108,-2,0.4675324675324675,189
21K690,Brooklyn Studio Secondary School,21,19,13,1,844,281,102,133,0.07692307692307693,279
25Q460,Flushing High School,25,19,13,1,1592,289,419,419,0.07692307692307693,279
29Q243,Institute for Health Professions at Cambria Heights,29,19,13,1,416,79,108,132,0.07692307692307693,279
18K637,Academy for Conservation and the Environment,18,19,94,7,727,92,170,217,0.5212765957446809,145
23K514,Frederick Douglass Academy VII High School,23,19,152,11,532,76,108,85,0.7960526315789473,131
02M507,Urban Assembly Gateway School for Technology,2,19,15,1,1299,278,108,146,0.06666666666666667,282
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",24,19,15,1,1368,247,120,161,0.06666666666666667,282
29Q327,Eagle Academy for Young Men III,29,19,15,1,324,112,120,-2,0.06666666666666667,282
19K510,World Academy for Total Community Health High School,19,19,188,12,417,29,98,-2,0.7659574468085106,132
28Q690,High School for Law Enforcement and Public Safety,28,19,16,1,396,91,165,109,0.0625,285
02M439,Manhattan Village Academy,2,19,33,2,3002,860,100,201,0.12121212121212122,256
02M300,"Urban Assembly School of Design and Construction, The",2,19,17,1,346,43,108,-2,0.058823529411764705,286
02M520,Murry Bergtraum High School for Business Careers,2,19,17,1,222,38,240,-2,0.058823529411764705,286
25Q670,Robert F. Kennedy Community High School,25,19,17,1,1012,254,150,223,0.058823529411764705,286
28Q680,Queens Gateway to Health Sciences Secondary School,28,19,17,1,1238,384,108,147,0.058823529411764705,286
19K953,The East New York Arts and Civics High School,19,19,111,6,169,23,68,-2,0.32432432432432434,211
02M308,Lower Manhattan Arts Academy,2,19,19,1,524,69,95,-2,0.05263157894736842,290
02M392,Manhattan Business Academy,2,19,38,2,1321,191,161,-2,0.10526315789473684,260
29Q492,"Mathematics, Science Research and Technology Magnet High School",29,19,19,1,782,146,150,-2,0.05263157894736842,290
02M425,Leadership and Public Service High School,2,19,20,1,387,36,145,52,0.05,292
21K348,High School of Sports Management,21,19,20,1,386,75,176,-2,0.05,292
29Q313,Benjamin Franklin High School for Finance & Information Technology,29,19,20,1,735,122,108,-2,0.05,292
28Q328,High School for Community Leadership,28,19,21,1,671,160,150,231,0.047619047619047616,295
24Q264,Academy of Finance and Enterprise,24,19,44,2,2163,546,124,151,0.09090909090909091,269
28Q284,York Early College Academy,28,19,22,1,1602,580,81,91,0.045454545454545456,296
30Q445,William Cullen Bryant High School,30,19,22,1,1681,297,435,349,0.045454545454545456,296
16K455,Boys and Girls High School,16,19,135,6,712,68,369,96,0.26666666666666666,213
03M415,Wadleigh Secondary School for the Performing & Visual Arts,3,19,23,1,826,130,128,-2,0.043478260869565216,298
27Q260,Frederick Douglass Academy VI High School,27,19,23,1,482,71,121,-2,0.043478260869565216,298
29Q272,George Washington Carver High School for the Sciences,29,19,23,1,590,92,93,-2,0.043478260869565216,298
17K547,Brooklyn Academy of Science and the Environment,17,19,24,1,373,53,108,-2,0.041666666666666664,301
13K350,Urban Assembly School of Music and Art,13,19,49,2,494,52,108,-2,0.08163265306122448,278
15K464,Park Slope Collegiate,15,19,26,1,613,115,102,130,0.038461538461538464,302
02M260,The Clinton School,2,19,27,1,2837,1151,134,221,0.037037037037037035,303
13K594,Gotham Professional Arts Academy,13,19,27,1,364,61,81,-2,0.037037037037037035,303
17K539,High School for Service & Learning at Erasmus,17,19,27,1,296,35,108,98,0.037037037037037035,303
15K448,Brooklyn Collaborative Studies,15,19,28,1,693,99,90,110,0.03571428571428571,306
27Q309,Academy of Medical Technology: A College Board School,27,19,28,1,626,120,105,109,0.03571428571428571,306
06M540,A. Philip Randolph Campus High School,6,19,29,1,2050,408,471,379,0.034482758620689655,308
17K524,International High School at Prospect Heights,17,19,29,1,338,61,108,45,0.034482758620689655,308
03M494,High School of Arts and Technology,3,19,30,1,1037,132,140,-2,0.03333333333333333,310
13K527,Urban Assembly Institute of Math and Science for Young Women,13,19,31,1,237,54,81,60,0.03225806451612903,311
23K697,Teachers Preparatory High School,23,19,31,1,187,35,90,-2,0.03225806451612903,311
15K497,The Boerum Hill School for International Studies,15,19,32,1,801,155,125,-2,0.03125,313
26Q315,Business Technology Early College High School,26,19,32,1,1032,289,180,272,0.03125,313
24Q550,High School for Arts and Business,24,19,33,1,2257,552,191,255,0.030303030303030304,315
18K563,It Takes a Village Academy,18,19,34,1,353,23,135,-2,0.029411764705882353,316
21K468,Kingsborough Early College School,21,19,34,1,1229,429,110,122,0.029411764705882353,316
20K490,Fort Hamilton High School,20,19,36,1,4983,1995,883,903,0.027777777777777776,318
18K642,Urban Action Academy,18,19,37,1,231,44,107,-2,0.02702702702702703,319
13K963,Design Works High School,13,19,39,1,607,86,81,-2,0.02564102564102564,320
27Q400,August Martin High School,27,19,39,1,960,177,250,218,0.02564102564102564,320
17K528,The High School for Global Citizenship,17,19,40,1,524,55,100,63,0.025,322
15K519,Cobble Hill School of American Studies,15,19,41,1,481,62,278,-2,0.024390243902439025,323
21K620,William E. Grady Career and Technical Education High School,21,19,45,1,970,205,305,214,0.022222222222222223,324
25Q425,John Bowne High School,25,19,49,1,3116,720,783,809,0.02040816326530612,325
17K745,Brooklyn Institute for Liberal Arts,17,19,55,1,761,109,175,158,0.01818181818181818,326
32K403,Academy for Excellence in Leadership,32,19,86,1,653,76,108,-2,0.011627906976744186,327
01M292,Orchard Collegiate Academy,1,20,1,1,280,71,90,-2,1.0,243
01M458,Forsyth Satellite Academy,1,20,1,1,60,12,28,-2,1.0,243
02M047,47 The American Sign Language and English Secondary School,2,20,1,1,318,55,69,-2,1.0,243
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,2,20,1,1,432,88,108,-2,1.0,243
02M300,"Urban Assembly School of Design and Construction, The",2,20,1,1,346,43,108,-2,1.0,243
02M313,"James Baldwin School, The: A School for Expeditionary Learning",2,20,1,1,71,14,25,-2,1.0,243
02M422,Quest to Learn,2,20,1,1,177,27,108,41,1.0,243
02M449,Vanguard High School,2,20,1,1,701,134,110,158,1.0,243
03M307,"Urban Assembly School for Media Studies, The",3,20,1,1,328,71,126,109,1.0,243
06M467,High School for Law and Public Service,6,20,1,1,643,95,167,84,1.0,243
07X223,The Laboratory School of Finance and Technology: X223,7,20,1,1,980,230,89,93,1.0,243
07X495,University Heights Secondary School,7,20,1,1,2181,787,140,203,1.0,243
07X500,Hostos-Lincoln Academy of Science,7,20,1,1,751,158,81,121,1.0,243
