School DBN,School Name,School District,Home Language,Total Applicants Language,True Applicants Language,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
27Q334,Epic High School - North,27,ENGLISH,415,90.0,735.0,169.0,70.0,91.0,19.518072289156628,172
12X478,The Cinema School,12,ENGLISH,374,85.0,618.0,139.0,81.0,117.0,19.318181818181817,173
07X221,South Bronx Preparatory: A College Board School,7,ENGLISH,490,97.0,782.0,161.0,123.0,148.0,19.20204081632653,174
30Q367,Motion Picture Tech High School,30,ENGLISH,283,73.0,538.0,133.0,200.0,6.0,18.830388692579504,175
02M135,The Urban Assembly Early College High School for Emergency Medicine,2,ENGLISH,316,77.0,510.0,116.0,122.0,6.0,18.7626582278481,176
08X293,Renaissance High School for Musical Theater and the Arts,8,ENGLISH,503,97.0,660.0,115.0,110.0,6.0,18.705765407554672,177
10X353,World View High School,10,ENGLISH,602,106.0,1343.0,263.0,150.0,195.0,18.664451827242527,178
03M492,"High School for Law, Advocacy and Community Justice",3,ENGLISH,558,102.0,920.0,170.0,220.0,6.0,18.64516129032258,179
15K667,Sunset Park High School,15,ENGLISH,355,81.0,989.0,260.0,354.0,6.0,18.48169014084507,180
19K507,Performing Arts and Technology High School,19,ENGLISH,838,124.0,1103.0,157.0,125.0,163.0,18.348448687350835,181
10X439,Bronx High School for Law and Community Service,10,ENGLISH,775,118.0,1467.0,220.0,108.0,163.0,17.966451612903224,182
19K618,Academy of Innovative Technology,19,ENGLISH,631,106.0,1048.0,183.0,115.0,169.0,17.806656101426306,183
18K617,High School for Innovation in Advertising and Media,18,ENGLISH,424,86.0,522.0,101.0,81.0,91.0,17.443396226415093,184
15K464,Park Slope Collegiate,15,ENGLISH,417,85.0,613.0,115.0,102.0,130.0,17.32613908872902,185
27Q351,Rockaway Collegiate High School,27,ENGLISH,188,57.0,258.0,71.0,135.0,6.0,17.28191489361702,186
25Q460,Flushing High School,25,ENGLISH,609,102.0,1592.0,289.0,419.0,419.0,17.08374384236453,187
21K344,Rachel Carson High School for Coastal Studies,21,ENGLISH,194,57.0,469.0,162.0,160.0,200.0,16.74742268041237,188
28Q896,"Young Women's Leadership School, Queens",28,ENGLISH,215,60.0,350.0,99.0,81.0,119.0,16.74418604651163,189
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",24,ENGLISH,578,98.0,1368.0,247.0,120.0,161.0,16.6159169550173,190
10X434,Belmont Preparatory High School,10,ENGLISH,720,109.0,1447.0,203.0,108.0,176.0,16.50138888888889,191
17K122,Pathways in Technology Early College High School (P-Tech),17,ENGLISH,599,99.0,712.0,114.0,150.0,6.0,16.362270450751254,192
13K412,Brooklyn Community Arts & Media High School (BCAM),13,ENGLISH,553,95.0,702.0,113.0,142.0,6.0,16.32007233273056,193
30Q445,William Cullen Bryant High School,30,ENGLISH,627,100.0,1681.0,297.0,435.0,349.0,15.94896331738437,194
02M392,Manhattan Business Academy,2,ENGLISH,753,109.0,1321.0,191.0,161.0,6.0,15.778220451527224,195
02M298,Pace High School,2,ENGLISH,782,111.0,1172.0,169.0,190.0,177.0,15.755754475703325,196
24Q293,Civic Leadership Academy,24,ENGLISH,283,66.0,1157.0,291.0,142.0,191.0,15.392226148409893,197
