School DBN,School Name,School District,Home Borough,Total Applicants Borough,True Applicants Borough,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
02M393,Business Of Sports School,2,Staten Island,3,3.0,1151,248.0,129,210,1.0,1
02M393,Business Of Sports School,2,Unknown,15,3.0,1151,248.0,129,210,0.2,169
02M394,Emma Lazarus High School,2,Bronx,7,7.0,134,19.0,60,1,1.0,1
02M394,Emma Lazarus High School,2,Brooklyn,26,20.0,134,19.0,60,1,0.7692307692307693,163
02M394,Emma Lazarus High School,2,Manhattan,61,21.0,134,19.0,60,1,0.3442622950819672,302
02M394,Emma Lazarus High School,2,Queens,7,7.0,134,19.0,60,1,1.0,1
02M394,Emma Lazarus High School,2,Unknown,2,2.0,134,19.0,60,1,1.0,1
02M395,A School Without Walls,2,Bronx,14,14.0,178,36.0,100,6,1.0,1
02M395,A School Without Walls,2,Brooklyn,45,29.0,178,36.0,100,6,0.6444444444444445,182
02M395,A School Without Walls,2,Manhattan,23,23.0,178,36.0,100,6,1.0,1
02M395,A School Without Walls,2,Queens,18,18.0,178,36.0,100,6,1.0,1
02M395,A School Without Walls,2,Staten Island,6,6.0,178,36.0,100,6,1.0,1
02M395,A School Without Walls,2,Unknown,2,2.0,178,36.0,100,6,1.0,1
02M399,The High School For Language And Diplomacy,2,Bronx,31,20.0,385,36.0,134,6,0.6451612903225806,186
02M399,The High School For Language And Diplomacy,2,Brooklyn,80,32.0,385,36.0,134,6,0.4,229
02M399,The High School For Language And Diplomacy,2,Manhattan,119,36.0,385,36.0,134,6,0.3025210084033613,318
02M399,The High School For Language And Diplomacy,2,Queens,23,23.0,385,36.0,134,6,1.0,1
02M399,The High School For Language And Diplomacy,2,Staten Island,3,3.0,385,36.0,134,6,1.0,1
02M399,The High School For Language And Diplomacy,2,Unknown,9,3.0,385,36.0,134,6,0.3333333333333333,101
02M400,High School for Environmental Studies,2,Bronx,513,71.0,2558,395.0,344,385,0.13840155945419103,350
02M400,High School for Environmental Studies,2,Brooklyn,365,55.0,2558,395.0,344,385,0.1506849315068493,377
02M400,High School for Environmental Studies,2,Manhattan,1339,193.0,2558,395.0,344,385,0.1441374159820762,371
02M400,High School for Environmental Studies,2,Queens,198,38.0,2558,395.0,344,385,0.1919191919191919,389
02M400,High School for Environmental Studies,2,Staten Island,5,5.0,2558,395.0,344,385,1.0,1
02M400,High School for Environmental Studies,2,Unknown,62,8.0,2558,395.0,344,385,0.12903225806451613,205
02M407,Institute for Collaborative Education,2,Bronx,46,24.0,836,263.0,61,73,0.5217391304347826,201
02M407,Institute for Collaborative Education,2,Brooklyn,261,92.0,836,263.0,61,73,0.3524904214559387,247
