School DBN,School Name,School District,Home Language,Total Applicants Language,True Applicants Language,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
02M543,New Design High School,2,SPANISH,244,37.0,852.0,157.0,125.0,145.0,5.610655737704918,233
24Q267,High School of Applied Communication,24,SPANISH,300,41.0,557.0,75.0,145.0,6.0,5.6033333333333335,234
30Q417,Gotham Tech High School,30,SPANISH,258,38.0,631.0,96.0,90.0,6.0,5.596899224806202,235
11X545,Bronx Aerospace High School,11,SPANISH,195,33.0,751.0,109.0,189.0,6.0,5.584615384615384,236
02M655,The High School for Climate Justice,2,SPANISH,95,23.0,298.0,60.0,152.0,105.0,5.568421052631579,237
02M280,Manhattan Early College School for Advertising,2,SPANISH,162,30.0,572.0,88.0,112.0,6.0,5.555555555555555,238
19K764,The Urban Assembly School for Collaborative Healthcare,19,SPANISH,174,31.0,419.0,71.0,81.0,6.0,5.522988505747127,239
09X564,Claremont International HS,9,SPANISH,277,39.0,412.0,50.0,81.0,25.0,5.490974729241877,240
32K168,The Brooklyn School for Math and Research,32,SPANISH,225,35.0,710.0,99.0,108.0,148.0,5.444444444444445,241
03M415,Wadleigh Secondary School for the Performing & Visual Arts,3,SPANISH,177,31.0,826.0,130.0,128.0,6.0,5.429378531073446,242
11X418,Bronx High School for the Visual Arts,11,SPANISH,233,35.0,951.0,168.0,102.0,136.0,5.257510729613734,243
17K600,Clara Barton High School,17,SPANISH,139,27.0,1276.0,355.0,434.0,6.0,5.244604316546763,244
02M615,Chelsea Career and Technical Education High School,2,SPANISH,224,34.0,821.0,118.0,152.0,6.0,5.160714285714286,245
02M374,Gramercy Arts High School,2,SPANISH,199,32.0,1038.0,129.0,204.0,78.0,5.1457286432160805,246
28Q325,Hillside Arts & Letters Academy,28,SPANISH,147,27.0,520.0,82.0,108.0,133.0,4.959183673469388,247
02M580,Richard R. Green High School of Teaching,2,SPANISH,107,23.0,1291.0,154.0,160.0,6.0,4.94392523364486,248
13K670,Benjamin Banneker Academy,13,SPANISH,199,31.0,1912.0,451.0,225.0,318.0,4.8291457286432165,249
08X530,Longwood Preparatory Academy,8,SPANISH,177,29.0,649.0,115.0,120.0,143.0,4.751412429378531,250
09X525,Bronx Leadership Academy High School,9,SPANISH,393,43.0,1027.0,107.0,105.0,123.0,4.704834605597965,251
02M534,Harvest Collegiate High School,2,SPANISH,220,32.0,1116.0,115.0,116.0,6.0,4.654545454545454,252
10X433,High School for Teaching and the Professions,10,SPANISH,181,29.0,344.0,61.0,102.0,6.0,4.6464088397790055,253
25Q241,Queens High School for Language Studies,25,SPANISH,160,27.0,371.0,90.0,125.0,76.0,4.55625,254
03M403,The Global Learning Collaborative,3,SPANISH,301,37.0,754.0,90.0,108.0,6.0,4.548172757475083,255
13K605,George Westinghouse Career and Technical Education High School,13,SPANISH,198,30.0,1254.0,203.0,254.0,194.0,4.545454545454546,256
29Q272,George Washington Carver High School for the Sciences,29,SPANISH,99,21.0,590.0,92.0,93.0,6.0,4.454545454545454,257
17K408,Academy of Hospitality and Tourism,17,SPANISH,119,23.0,571.0,89.0,118.0,6.0,4.445378151260504,258
02M531,Repertory Company High School for Theatre Arts,2,SPANISH,58,16.0,365.0,100.0,60.0,68.0,4.413793103448276,259
14K454,The Williamsburg High School of Art and Technology,14,SPANISH,262,34.0,893.0,129.0,116.0,120.0,4.412213740458015,260
15K448,Brooklyn Collaborative Studies,15,SPANISH,121,23.0,693.0,99.0,90.0,110.0,4.371900826446281,261
