School DBN,School Name,School District,Home Language,Total Applicants Language,True Applicants Language,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
32K403,Academy for Excellence in Leadership,32,CHINESE/ANY,1,1.0,653.0,76.0,108.0,6.0,1.0,148
32K168,The Brooklyn School for Math and Research,32,CHINESE/ANY,1,1.0,710.0,99.0,108.0,148.0,1.0,148
31R600,Ralph R. McKee Career and Technical Education High School,31,CHINESE/ANY,1,1.0,620.0,198.0,316.0,180.0,1.0,148
31R028,The Eagle Academy for Young Men of Staten Island,31,CHINESE/ANY,1,1.0,94.0,26.0,81.0,6.0,1.0,148
30Q555,Newcomers High School,30,CHINESE/ANY,1,1.0,559.0,166.0,81.0,107.0,1.0,148
30Q502,Information Technology High School,30,CHINESE/ANY,1,1.0,944.0,190.0,227.0,6.0,1.0,148
30Q417,Gotham Tech High School,30,CHINESE/ANY,1,1.0,631.0,96.0,90.0,6.0,1.0,148
30Q367,Motion Picture Tech High School,30,CHINESE/ANY,1,1.0,538.0,133.0,200.0,6.0,1.0,148
29Q498,"Health, Arts, Robotics, and Technology High School",29,CHINESE/ANY,1,1.0,1435.0,293.0,196.0,264.0,1.0,148
29Q492,"Mathematics, Science Research and Technology Magnet High School",29,CHINESE/ANY,1,1.0,782.0,146.0,150.0,6.0,1.0,148
29Q326,Cambria Heights Academy,29,CHINESE/ANY,1,1.0,581.0,113.0,81.0,103.0,1.0,148
29Q272,George Washington Carver High School for the Sciences,29,CHINESE/ANY,1,1.0,590.0,92.0,93.0,6.0,1.0,148
29Q248,Queens Preparatory Academy,29,CHINESE/ANY,1,1.0,383.0,62.0,100.0,6.0,1.0,148
28Q896,"Young Women's Leadership School, Queens",28,CHINESE/ANY,1,1.0,350.0,99.0,81.0,119.0,1.0,148
28Q350,Jamaica Gateway to the Sciences,28,CHINESE/ANY,1,1.0,1005.0,210.0,150.0,184.0,1.0,148
28Q325,Hillside Arts & Letters Academy,28,CHINESE/ANY,1,1.0,520.0,82.0,108.0,133.0,1.0,148
28Q167,Metropolitan Expeditionary Learning School,28,CHINESE/ANY,1,1.0,1254.0,467.0,125.0,141.0,1.0,148
18K567,Brooklyn Theatre Arts High School,18,CHINESE/ANY,1,1.0,352.0,39.0,125.0,6.0,1.0,148
27Q400,August Martin High School,27,CHINESE/ANY,1,1.0,960.0,177.0,250.0,218.0,1.0,148
27Q334,Epic High School - North,27,CHINESE/ANY,1,1.0,735.0,169.0,70.0,91.0,1.0,148
27Q314,Epic High School - South,27,CHINESE/ANY,1,1.0,618.0,154.0,95.0,138.0,1.0,148
27Q309,Academy of Medical Technology: A College Board School,27,CHINESE/ANY,1,1.0,626.0,120.0,105.0,109.0,1.0,148
27Q262,Channel View School for Research,27,CHINESE/ANY,1,1.0,755.0,267.0,194.0,212.0,1.0,148
27Q260,Frederick Douglass Academy VI High School,27,CHINESE/ANY,1,1.0,482.0,71.0,121.0,6.0,1.0,148
24Q530,International High School at LaGuardia Community College,24,CHINESE/ANY,1,1.0,1236.0,505.0,119.0,114.0,1.0,148
24Q267,High School of Applied Communication,24,CHINESE/ANY,1,1.0,557.0,75.0,145.0,6.0,1.0,148
23K644,Eagle Academy for Young Men II,23,CHINESE/ANY,1,1.0,554.0,179.0,92.0,139.0,1.0,148
23K514,Frederick Douglass Academy VII High School,23,CHINESE/ANY,1,1.0,532.0,76.0,108.0,85.0,1.0,148
22K611,Origins High School,22,CHINESE/ANY,1,1.0,296.0,126.0,128.0,211.0,1.0,148
18K566,Brooklyn Community High School for Excellence and Equity,18,CHINESE/ANY,1,1.0,448.0,61.0,75.0,6.0,1.0,148
14K474,PROGRESS High School for Professional Careers,14,CHINESE/ANY,1,1.0,506.0,81.0,153.0,6.0,1.0,148
17K745,Brooklyn Institute for Liberal Arts,17,CHINESE/ANY,1,1.0,761.0,109.0,175.0,158.0,1.0,148
03M417,Frank McCourt High School,3,CHINESE/ANY,1,1.0,1253.0,345.0,120.0,170.0,1.0,148
03M492,"High School for Law, Advocacy and Community Justice",3,CHINESE/ANY,1,1.0,920.0,170.0,220.0,6.0,1.0,148
03M610,Young Women's Leadership School,3,CHINESE/ANY,1,1.0,370.0,113.0,81.0,6.0,1.0,148
04M372,Esperanza Preparatory Academy,4,CHINESE/ANY,1,1.0,322.0,114.0,106.0,120.0,1.0,148
04M680,"Heritage School, The",4,CHINESE/ANY,1,1.0,482.0,60.0,80.0,6.0,1.0,148
05M157,The Urban Assembly School for Global Commerce,5,CHINESE/ANY,1,1.0,207.0,26.0,81.0,6.0,1.0,148
06M293,City College Academy of the Arts,6,CHINESE/ANY,1,1.0,1028.0,337.0,81.0,95.0,1.0,148
06M346,Community Health Academy of the Heights,6,CHINESE/ANY,1,1.0,586.0,143.0,75.0,93.0,1.0,148
06M468,High School for Health Careers and Sciences,6,CHINESE/ANY,1,1.0,822.0,121.0,268.0,6.0,1.0,148
06M540,A. Philip Randolph Campus High School,6,CHINESE/ANY,1,1.0,2050.0,408.0,471.0,379.0,1.0,148
07X223,The Laboratory School of Finance and Technology: X223,7,CHINESE/ANY,1,1.0,980.0,230.0,89.0,93.0,1.0,148
07X500,Hostos-Lincoln Academy of Science,7,CHINESE/ANY,1,1.0,751.0,158.0,81.0,121.0,1.0,148
08X269,Bronx Studio School for Writers and Artists,8,CHINESE/ANY,1,1.0,481.0,130.0,90.0,113.0,1.0,148
08X293,Renaissance High School for Musical Theater and the Arts,8,CHINESE/ANY,1,1.0,660.0,115.0,110.0,6.0,1.0,148
08X312,Millennium Art Academy,8,CHINESE/ANY,1,1.0,625.0,136.0,112.0,117.0,1.0,148
08X348,Schuylerville Preparatory High School,8,CHINESE/ANY,1,1.0,286.0,30.0,108.0,6.0,1.0,148
08X349,Bronx River High School,8,CHINESE/ANY,1,1.0,1172.0,196.0,108.0,168.0,1.0,148
08X367,"Archimedes Academy for Math, Science and Technology Applications",8,CHINESE/ANY,1,1.0,427.0,75.0,100.0,6.0,1.0,148
08X558,Westchester Square Academy,8,CHINESE/ANY,1,1.0,788.0,106.0,135.0,114.0,1.0,148
09X227,Bronx Collegiate Academy,9,CHINESE/ANY,1,1.0,1201.0,163.0,120.0,173.0,1.0,148
09X241,"Urban Assembly School for Applied Math and Science, The",9,CHINESE/ANY,1,1.0,561.0,117.0,90.0,99.0,1.0,148
09X252,Mott Hall Bronx High School,9,CHINESE/ANY,1,1.0,1138.0,141.0,90.0,130.0,1.0,148
09X297,Morris Academy for Collaborative Studies,9,CHINESE/ANY,1,1.0,568.0,80.0,123.0,6.0,1.0,148
09X327,Comprehensive Model School Project M.S. 327,9,CHINESE/ANY,1,1.0,706.0,224.0,90.0,103.0,1.0,148
09X412,Bronx High School of Business,9,CHINESE/ANY,1,1.0,765.0,66.0,120.0,6.0,1.0,148
09X413,Bronx High School for Medical Science,9,CHINESE/ANY,1,1.0,1104.0,178.0,90.0,170.0,1.0,148
09X505,"Bronx School for Law, Government and Justice",9,CHINESE/ANY,1,1.0,1132.0,259.0,120.0,154.0,1.0,148
03M415,Wadleigh Secondary School for the Performing & Visual Arts,3,CHINESE/ANY,1,1.0,826.0,130.0,128.0,6.0,1.0,148
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),10,CHINESE/ANY,1,1.0,648.0,268.0,210.0,288.0,1.0,148
03M307,"Urban Assembly School for Media Studies, The",3,CHINESE/ANY,1,1.0,328.0,71.0,126.0,109.0,1.0,148
02M655,The High School for Climate Justice,2,CHINESE/ANY,1,1.0,298.0,60.0,152.0,105.0,1.0,148
02M135,The Urban Assembly Early College High School for Emergency Medicine,2,CHINESE/ANY,1,1.0,510.0,116.0,122.0,6.0,1.0,148
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,2,CHINESE/ANY,1,1.0,432.0,88.0,108.0,6.0,1.0,148
02M288,Food and Finance High School,2,CHINESE/ANY,1,1.0,1225.0,264.0,150.0,211.0,1.0,148
